w,q2,n_present,n_missing,completeness_pct
1.54,1.1931,900,0,100.0
1.54,1.3207,900,0,100.0
1.54,1.4483,900,0,100.0
1.54,1.5759,900,0,100.0
1.54,1.7034,900,0,100.0
1.54,1.831,900,0,100.0
1.54,1.9586,900,0,100.0
1.54,2.0862,900,0,100.0
1.54,2.2138,900,0,100.0
1.54,2.3414,900,0,100.0
1.54,2.469,900,0,100.0
1.54,2.5966,900,0,100.0
1.54,2.7241,899,1,99.89
1.54,2.8517,900,0,100.0
1.54,2.9793,900,0,100.0
1.54,3.1069,900,0,100.0
1.54,3.2345,900,0,100.0
1.54,3.3621,900,0,100.0
1.54,3.4897,840,60,93.33
1.54,3.6172,900,0,100.0
1.54,3.7448,900,0,100.0
1.54,3.8724,900,0,100.0
1.54,4.0,900,0,100.0
1.5576,0.3,900,0,100.0
1.5576,0.4276,900,0,100.0
1.5576,0.5552,870,30,96.67
1.5576,0.6828,900,0,100.0
1.5576,0.8103,900,0,100.0
1.5576,0.9379,900,0,100.0
1.5576,1.0655,900,0,100.0
1.5576,1.1931,900,0,100.0
1.5576,1.3207,900,0,100.0
1.5576,1.4483,800,100,88.89
1.5576,1.5759,900,0,100.0
1.5576,1.7034,820,80,91.11
1.5576,1.831,900,0,100.0
1.5576,1.9586,900,0,100.0
1.5576,2.0862,900,0,100.0
1.5576,2.2138,900,0,100.0
1.5576,2.3414,900,0,100.0
1.5576,2.469,900,0,100.0
1.5576,2.5966,900,0,100.0
1.5576,2.7241,900,0,100.0
1.5576,2.8517,900,0,100.0
1.5576,2.9793,900,0,100.0
1.5576,3.1069,900,0,100.0
1.5576,3.2345,900,0,100.0
1.5576,3.3621,900,0,100.0
1.5576,3.4897,900,0,100.0
1.5576,3.6172,900,0,100.0
1.5576,3.7448,900,0,100.0
1.5576,3.8724,900,0,100.0
1.5576,4.0,900,0,100.0
1.5753,0.3,900,0,100.0
1.5753,0.4276,900,0,100.0
1.5753,0.5552,900,0,100.0
1.5753,0.6828,900,0,100.0
1.5753,0.8103,900,0,100.0
1.5753,0.9379,900,0,100.0
1.5753,1.0655,900,0,100.0
1.5753,1.1931,900,0,100.0
1.5753,1.3207,900,0,100.0
1.5753,1.4483,900,0,100.0
1.5753,1.5759,900,0,100.0
1.5753,1.7034,900,0,100.0
1.5753,1.831,900,0,100.0
1.5753,1.9586,900,0,100.0
1.5753,2.0862,900,0,100.0
1.5753,2.2138,900,0,100.0
1.5753,2.3414,900,0,100.0
1.5753,2.469,900,0,100.0
1.5753,2.5966,900,0,100.0
1.5753,2.7241,900,0,100.0
1.5753,2.8517,900,0,100.0
1.5753,2.9793,900,0,100.0
1.5753,3.1069,900,0,100.0
1.5753,3.2345,900,0,100.0
1.5753,3.3621,900,0,100.0
1.5753,3.4897,900,0,100.0
1.5753,3.6172,900,0,100.0
1.5753,3.7448,900,0,100.0
1.5753,3.8724,900,0,100.0
1.5753,4.0,900,0,100.0
1.5929,0.3,900,0,100.0
1.5929,0.4276,900,0,100.0
1.5929,0.5552,900,0,100.0
1.5929,0.6828,900,0,100.0
1.5929,0.8103,900,0,100.0
1.5929,0.9379,900,0,100.0
1.5929,1.0655,900,0,100.0
1.5929,1.1931,890,10,98.89
1.5929,1.3207,900,0,100.0
1.5929,1.4483,900,0,100.0
1.5929,1.5759,900,0,100.0
1.5929,1.7034,900,0,100.0
1.5929,1.831,870,30,96.67
1.5929,1.9586,900,0,100.0
1.5929,2.0862,730,170,81.11
1.5929,2.2138,900,0,100.0
1.5929,2.3414,900,0,100.0
1.5929,2.469,900,0,100.0
1.5929,2.5966,900,0,100.0
1.5929,2.7241,900,0,100.0
1.5929,2.8517,820,80,91.11
1.5929,2.9793,660,240,73.33
1.5929,3.1069,900,0,100.0
1.5929,3.2345,900,0,100.0
1.5929,3.3621,900,0,100.0
1.5929,3.4897,900,0,100.0
1.5929,3.6172,760,140,84.44
1.5929,3.7448,900,0,100.0
1.5929,3.8724,900,0,100.0
1.5929,4.0,900,0,100.0
1.6106,0.3,850,50,94.44
1.6106,0.4276,900,0,100.0
1.6106,0.5552,900,0,100.0
1.6106,0.6828,900,0,100.0
1.6106,0.8103,900,0,100.0
1.6106,0.9379,900,0,100.0
1.6106,1.0655,900,0,100.0
1.6106,1.1931,900,0,100.0
1.6106,1.3207,900,0,100.0
1.6106,1.4483,900,0,100.0
1.6106,1.5759,900,0,100.0
1.6106,1.7034,830,70,92.22
1.6106,1.831,900,0,100.0
1.6106,1.9586,900,0,100.0
1.6106,2.0862,760,140,84.44
1.6106,2.2138,900,0,100.0
1.6106,2.3414,900,0,100.0
1.6106,2.469,900,0,100.0
1.6106,2.5966,899,1,99.89
1.6106,2.7241,900,0,100.0
1.6106,2.8517,900,0,100.0
1.6106,2.9793,900,0,100.0
1.6106,3.1069,850,50,94.44
1.6106,3.2345,900,0,100.0
1.6106,3.3621,900,0,100.0
1.6106,3.4897,900,0,100.0
1.6106,3.6172,880,20,97.78
1.6106,3.7448,900,0,100.0
1.6106,3.8724,900,0,100.0
1.6106,4.0,900,0,100.0
1.6282,0.3,900,0,100.0
1.6282,0.4276,840,60,93.33
1.6282,0.5552,900,0,100.0
1.6282,0.6828,900,0,100.0
